"colostrum","milky fluid secreted for the first day or two after parturition"
"republication","something that has been published again; a fresh publication (as of a literary work)"
"benchmark","a surveyor''s mark on a permanent object of predetermined position and elevation used as a reference point"
"landmark","a mark showing the boundary of a piece of land"
"merestone","an old term for a landmark that consisted of a pile of stones surmounted by an upright slab"
"meerestone","an old term for a landmark that consisted of a pile of stones surmounted by an upright slab"
"mearstone","an old term for a landmark that consisted of a pile of stones surmounted by an upright slab"
"rule","(linguistics) a rule describing (or prescribing) a linguistic practice"
"standard","a basis for comparison; a reference point against which other things can be evaluated; ""they set the measure for all subsequent work"""
"criterion","a basis for comparison; a reference point against which other things can be evaluated; ""they set the measure for all subsequent work"""
"measure","a basis for comparison; a reference point against which other things can be evaluated; ""they set the measure for all subsequent work"""
"touchstone","a basis for comparison; a reference point against which other things can be evaluated; ""they set the measure for all subsequent work"""
"benchmark","a standard by which something can be measured or judged; ""his painting sets the benchmark of quality"""
"GPA","a measure of a student''s academic achievement at a college or university; calculated by dividing the total number of grade points received by the total number attempted"
"yardstick","a measure or standard used for comparison; ""on what kind of yardstick is he basing his judgment?"""
"target","a reference point to shoot at; ""his arrow hit the mark"""
"mark","a reference point to shoot at; ""his arrow hit the mark"""
"clout","a target used in archery"
"drogue","a funnel-shaped device towed as a target by an airplane"
"indicator","a signal for attracting attention"
"blinker","a blinking light on a motor vehicle that indicates the direction in which the vehicle is about to turn"
"trafficator","a blinking light on a motor vehicle that indicates the direction in which the vehicle is about to turn"
"armband","worn around arm as identification or to indicate mourning"
"rocket","propels bright light high in the sky, or used to propel a lifesaving line or harpoon"
"skyrocket","propels bright light high in the sky, or used to propel a lifesaving line or harpoon"
"blip","a radar echo displayed so as to show the position of a reflecting surface"
"pip","a radar echo displayed so as to show the position of a reflecting surface"
"clutter","unwanted echoes that interfere with the observation of signals on a radar screen"
"racon","a device that, on receiving radar signals, transmits coded signals in response to help navigators determine their position"
"beacon","a fire (usually on a hill or tower) that can be seen from a distance"
"input","signal going into an electronic system"
"output","signal that comes out of an electronic system"
"printout","the output of a computer in printed form"
"foghorn","a loud low warning signal that can be heard by fog-bound ships"
"fogsignal","a loud low warning signal that can be heard by fog-bound ships"
"horn","a noise made by the driver of an automobile to give warning;"
"siren","a warning signal that is a loud wailing sound"
"tocsin","the sound of an alarm (usually a bell)"
"stoplight","a red light on the rear of a motor vehicle that signals when the brakes are applied to slow or stop"
"buoy","bright-colored; a float attached by rope to the seabed to mark channels in a harbor or underwater hazards"
"can","a buoy with a round bottom and conical top"
"nun","a buoy resembling a cone"
"staff","a rod carried as a symbol"
"crosier","a staff surmounted by a crook or cross carried by bishops as a symbol of pastoral office"
"crozier","a staff surmounted by a crook or cross carried by bishops as a symbol of pastoral office"
"mace","a ceremonial staff carried as a symbol of office or authority"
"scepter","a ceremonial or emblematic staff"
"sceptre","a ceremonial or emblematic staff"
"verge","a ceremonial or emblematic staff"
"wand","a ceremonial or emblematic staff"
"bauble","a mock scepter carried by a court jester"
"tipstaff","staff with a metal tip carried as a sign of office by e.g. a bailiff or constable"
"cordon","cord or ribbon worn as an insignia of honor or rank"
"wings","stylized bird wings worn as an insignia by qualified pilots or air crew members"
"Emmy","an annual award by the Academy of Television Arts and Sciences for outstanding achievements in television"
"Oscar","an annual award by the Academy of Motion Picture Arts and Sciences for achievements in motion picture production and performance"
"chevron","V-shaped sleeve badge indicating military rank and service; ""they earned their stripes in Kuwait"""
"stripe","V-shaped sleeve badge indicating military rank and service; ""they earned their stripes in Kuwait"""
"stripes","V-shaped sleeve badge indicating military rank and service; ""they earned their stripes in Kuwait"""
"stripe","a piece of braid, usually on the sleeve, indicating military rank or length of service"
"icon","(computer science) a graphic symbol (usually a simple picture) that denotes a program or a command or a data file or a concept in a graphical user interface"
"marker","a distinguishing symbol; ""the owner''s mark was on all the sheep"""
"marking","a distinguishing symbol; ""the owner''s mark was on all the sheep"""
"mark","a distinguishing symbol; ""the owner''s mark was on all the sheep"""
"identifier","a symbol that establishes the identity of the one bearing it"
"postmark","a cancellation mark stamped on mail by postal officials; indicates the post office and date of mailing"
"watermark","a distinguishing mark impressed on paper during manufacture; visible when paper is held up to the light"
"milestone","stone post at side of a road to show distances"
"milepost","stone post at side of a road to show distances"
"variable","a symbol (like x or y) that is used in mathematical or logical expressions to represent a variable quantity"
"placeholder","a symbol in a logical or mathematical expression that can be replaced by the name of any member of specified set"
"unknown","a variable whose values are solutions of an equation"
"peg","small markers inserted into a surface to mark scores or define locations etc."
"pin","small markers inserted into a surface to mark scores or define locations etc."
"spot","a mark on a playing card (shape depending on the suit)"
"pip","a mark on a playing card (shape depending on the suit)"
"logo","a company emblem or device"
"logotype","a company emblem or device"
"label","an identifying or descriptive marker that is attached to an object"
"bookplate","a label identifying the owner of a book in which it is pasted"
"sticker","an adhesive label"
"paster","an adhesive label"
"tag","a label made of cardboard or plastic or metal"
"cairn","a mound of stones piled up as a memorial or to mark a boundary or path"
"shrug","a gesture involving the shoulders"
"wave","the act of signaling by a movement of the hand"
"waving","the act of signaling by a movement of the hand"
"wafture","the act of signaling by a movement of the hand"
"nod","a sign of assent or salutation or command"
"bow","bending the head or body or knee as a sign of reverence or submission or shame"
"bowing","bending the head or body or knee as a sign of reverence or submission or shame"
"obeisance","bending the head or body or knee as a sign of reverence or submission or shame"
"curtsy","bending at the knees; a gesture of respect made by women"
"curtsey","bending at the knees; a gesture of respect made by women"
"genuflection","the act of bending the knees in worship or reverence"
"genuflexion","the act of bending the knees in worship or reverence"
"kowtow","a former Chinese custom of touching the ground with the forehead as a sign of respect or submission"
"kotow","a former Chinese custom of touching the ground with the forehead as a sign of respect or submission"
"scrape","a deep bow with the foot drawn backwards (indicating excessive humility); ""all that bowing and scraping did not impress him"""
"scraping","a deep bow with the foot drawn backwards (indicating excessive humility); ""all that bowing and scraping did not impress him"""
"salaam","a deep bow; a Muslim form of salutation"
"sign","a fundamental linguistic unit linking a signifier to that which is signified; ""The bond between the signifier and the signified is arbitrary""--de Saussure"
"plagiarism","a piece of writing that has been copied from someone else and is presented as being your own work"
"transcript","something that has been transcribed; a written record (usually typewritten) of dictated or recorded speech; ""he read a transcript of the interrogation""; ""you can obtain a transcript of this radio program by sending a self-addressed envelope to the station"
"voice","something suggestive of speech in being a medium of expression; ""the wee small voice of conscience""; ""the voice of experience""; ""he said his voices told him to do it"""
"Bach","the music of Bach; ""he played Bach on the organ"""
"Beethoven","the music of Beethoven; ""he enjoyed Beethoven most of all"""
"Brahms","the music of Brahms; ""Brahms was included in the program"""
"Chopin","the music of Chopin; ""he practiced Chopin day and night"""
"Handel","the music of Handel"
"Haydn","the music of Haydn"
"Mozart","the music of Mozart; ""the concert was mostly Mozart"""
"Stravinsky","the music of Stravinsky; ""Stravinsky no longer causes riots in the streets"""
"Wagner","the music of Wagner; ""they say that Hitler listened only to Wagner"""
"contact","a communicative interaction; ""the pilot made contact with the base""; ""he got in touch with his colleagues"""
"touch","a communicative interaction; ""the pilot made contact with the base""; ""he got in touch with his colleagues"""
"traffic","the amount of activity over a communication system during a given period of time; ""heavy traffic overloaded the trunk lines""; ""traffic on the internet is lightest during the night"""
"order","a request for food or refreshment (as served in a restaurant or bar etc.); ""I gave the waiter my order"""
"recall","a request by the manufacturer of a defective product to return the product (as for replacement or repair)"
"callback","a request by the manufacturer of a defective product to return the product (as for replacement or repair)"
"uplink","a transmission from Earth to a spacecraft or the path of such a transmission"
"capriccio","an instrumental composition that doesn''t adhere to rules for any specific musical form and is played with improvisation"
"interrogation","a transmission that will trigger an answering transmission from a transponder"
"motet","an unaccompanied choral composition with sacred lyrics; intended to be sung as part of a church service; originated in the 13th century"
"negation","a negative statement; a statement that is a refusal or denial of some other statement"
"packet","(computer science) a message or message fragment"
"slanguage","language characterized by excessive use of slang or cant"
"Ta'ziyeh","(Islam) a form of Iranian musical pageant that is the theatrical expression of religious passion; based on the Battle of Kerbala and performed annually (in Farsi)"
"sprechgesang","a style of dramatic vocalization between singing and speaking"
"sprechstimme","a style of dramatic vocalization between singing and speaking"
"yearbook","a book published annually by the graduating class of a high school or college usually containing photographs of faculty and graduating students"
"zinger","a striking or amusing or caustic remark; ""he always greeted me with a new zinger""; ""she tried to think of some killer of an argument, a real zinger that would disarm all opposition"""
"nonevent","an anticipated event that turns out to be far less significant than was expected"
"happening","an event that happens"
"occurrence","an event that happens"
"accompaniment","an event or situation that happens at the same time as or in connection with another"
"concomitant","an event or situation that happens at the same time as or in connection with another"
"associate","any event that usually accompanies or is closely connected with another; ""first was the lightning and then its thunderous associate"""
"avalanche","a sudden appearance of an overwhelming number of things; ""the program brought an avalanche of mail"""
"background","relatively unimportant or inconspicuous accompanying situation; ""when the rain came he could hear the sound of thunder in the background"""
"experience","an event as apprehended; ""a surprising experience""; ""that painful experience certainly got our attention"""
"appalling","an experience that appalls; ""is it better to view the appalling or merely hear of it?"""
"augury","an event that is experienced as indicating important things to come; ""he hoped it was an augury""; ""it was a sign from God"""
"sign","an event that is experienced as indicating important things to come; ""he hoped it was an augury""; ""it was a sign from God"""
"foretoken","an event that is experienced as indicating important things to come; ""he hoped it was an augury""; ""it was a sign from God"""
"preindication","an event that is experienced as indicating important things to come; ""he hoped it was an augury""; ""it was a sign from God"""
"omen","a sign of something about to happen; ""he looked for an omen before going into battle"""
"portent","a sign of something about to happen; ""he looked for an omen before going into battle"""
"presage","a sign of something about to happen; ""he looked for an omen before going into battle"""
"prognostic","a sign of something about to happen; ""he looked for an omen before going into battle"""
"prodigy","a sign of something about to happen; ""he looked for an omen before going into battle"""
"auspice","a favorable omen"
"foreboding","an unfavorable omen"
"flash","a short vivid experience; ""a flash of emotion swept over him""; ""the flashings of pain were a warning"""
"flashing","a short vivid experience; ""a flash of emotion swept over him""; ""the flashings of pain were a warning"""
"blast","a highly pleasurable or exciting experience; ""we had a good time at the party""; ""celebrating after the game was a blast"""
"loss","the experience of losing a loved one; ""he sympathized on the loss of their grandfather"""
"ordeal","a severe or trying experience"
"taste","a brief experience of something; ""he got a taste of life on the wild side""; ""she enjoyed her brief taste of independence"""
"time","a person''s experience on a particular occasion; ""he had a time holding back the tears""; ""they had a good time together"""
"trip","an exciting or stimulting experience"
"vision","a religious or mystical experience of a supernatural appearance; ""he had a vision of the Virgin Mary"""
"miracle","a marvellous event manifesting a supernatural act of God"
"trouble","an event causing distress or pain; ""what is the trouble?""; ""heart trouble"""
"treat","an occurrence that cause special pleasure or delight"
"miracle","any amazing or wonderful occurrence"
"wonder","something that causes feelings of wonder; ""the wonders of modern science"""
"marvel","something that causes feelings of wonder; ""the wonders of modern science"""
"thing","an event; ""a funny thing happened on the way to the..."""
"episode","a happening that is distinctive in a series of related events"
"feast","something experienced with great delight; ""a feast for the eyes"""
"drama","an episode that is turbulent or highly emotional"
"eventuality","a possible event or occurrence or result"
"contingency","a possible event or occurrence or result"
"contingence","a possible event or occurrence or result"
"beginning","the event consisting of the start of something; ""the beginning of the war"""
"ending","event whose occurrence ends something; ""his death marked the ending of an era""; ""when these final episodes are broadcast it will be the finish of the show"""
"conclusion","event whose occurrence ends something; ""his death marked the ending of an era""; ""when these final episodes are broadcast it will be the finish of the show"""
"finish","event whose occurrence ends something; ""his death marked the ending of an era""; ""when these final episodes are broadcast it will be the finish of the show"""
"end","the concluding parts of an event or occurrence; ""the end was exciting""; ""I had to miss the last of the movie"""
"last","the concluding parts of an event or occurrence; ""the end was exciting""; ""I had to miss the last of the movie"""
"endgame","the final stages of a chess game after most of the pieces have been removed from the board"
"endgame","the final stages of an extended process of negotiation; ""the diplomatic endgame"""
"homestretch","the end of an enterprise; ""they were on the homestretch when the computer crashed"""
"passing","the end of something; ""the passing of winter"""
"result","something that results; ""he listened for the results on the radio"""
"resultant","something that results; ""he listened for the results on the radio"""
"outcome","something that results; ""he listened for the results on the radio"""
"termination","something that results; ""he listened for the results on the radio"""
"denouement","the outcome of a complex sequence of events"
"deal","the type of treatment received (especially as the result of an agreement); ""he got a good deal on his car"""
"decision","the outcome of a game or contest; ""the team dropped three decisions in a row"""
"decision","(boxing) a victory won on points when no knockout has occurred; ""had little trouble in taking a unanimous decision over his opponent"""
"consequence","the outcome of an event especially as relative to an individual; ""that result is of no consequence"""
"aftermath","the outcome of an event especially as relative to an individual; ""that result is of no consequence"""
"corollary","a practical consequence that follows naturally; ""blind jealousy is a frequent corollary of passionate love"""
"deserts","an outcome (good or bad) that is well deserved"
"comeuppance","an outcome (good or bad) that is well deserved"
"comeupance","an outcome (good or bad) that is well deserved"
"fruit","the consequence of some effort or action; ""he lived long enough to see the fruit of his policies"""
"sequella","a secondary consequence"
"train","a series of consequences wrought by an event; ""it led to a train of disasters"""
"offspring","something that comes into existence as a result; ""industrialism prepared the way for acceptance of the French Revolution''s various socialistic offspring""; ""this skyscraper is the solid materialization of his efforts"""
"separation","termination of employment (by resignation or dismissal)"
"sequel","something that follows something else"
"subsequence","something that follows something else"
"wages","a recompense for worthy acts or retribution for wrongdoing; ""the wages of sin is death""; ""virtue is its own reward"""
"reward","a recompense for worthy acts or retribution for wrongdoing; ""the wages of sin is death""; ""virtue is its own reward"""
"payoff","a recompense for worthy acts or retribution for wrongdoing; ""the wages of sin is death""; ""virtue is its own reward"""
"worst","the least favorable outcome; ""the worst that could happen"""
"change","an event that occurs when something passes from one state or phase to another; ""the change was intended to increase sales""; ""this storm is certainly a change for the worse""; ""the neighborhood had undergone few modifications since his last visit years ago"""
"alteration","an event that occurs when something passes from one state or phase to another; ""the change was intended to increase sales""; ""this storm is certainly a change for the worse""; ""the neighborhood had undergone few modifications since his last visit years ago"""
"modification","an event that occurs when something passes from one state or phase to another; ""the change was intended to increase sales""; ""this storm is certainly a change for the worse""; ""the neighborhood had undergone few modifications since his last visit years ago"""
"avulsion","an abrupt change in the course of a stream that forms the boundary between two parcels of land resulting in the loss of part of the land of one landowner and a consequent increase in the land of another"
"mutation","a change or alteration in form or qualities"
"sublimation","(psychology) modifying the natural expression of an impulse or instinct (especially a sexual one) to one that is socially acceptable"
"surprise","a sudden unexpected event"
"bombshell","a shocking surprise; ""news of the attack came like a bombshell"""
"thunderbolt","a shocking surprise; ""news of the attack came like a bombshell"""
"thunderclap","a shocking surprise; ""news of the attack came like a bombshell"""
"peripeteia","a sudden and unexpected change of fortune or reverse of circumstances (especially in a literary work); ""a peripeteia swiftly turns a routine sequence of events into a story worth telling"""
"peripetia","a sudden and unexpected change of fortune or reverse of circumstances (especially in a literary work); ""a peripeteia swiftly turns a routine sequence of events into a story worth telling"""
"peripety","a sudden and unexpected change of fortune or reverse of circumstances (especially in a literary work); ""a peripeteia swiftly turns a routine sequence of events into a story worth telling"""
"shock","an unpleasant or disappointing surprise; ""it came as a shock to learn that he was injured"""
"blow","an unpleasant or disappointing surprise; ""it came as a shock to learn that he was injured"""
"blip","a sudden minor shock or meaningless interruption; ""the market had one bad blip today""; ""you can''t react to the day-to-day blips""; ""renewed jitters in the wake of a blip in retail sales"""
"stunner","an unexpected and amazing event; ""the stunner was what happened on Saturday"""
"error","(computer science) the occurrence of an incorrect result produced by a computer"
"accident","anything that happens by chance without an apparent cause"
"fortuity","anything that happens by chance without an apparent cause"
"accident","a mishap; especially one causing injury or death"
"collision","an accident resulting from violent impact of a moving object; ""three passengers were killed in the collision""; ""the collision of the two ships resulted in a serious oil spill"""
"crash","a serious accident (usually involving one or more vehicles); ""they are still investigating the crash of the TWA plane"""
"wreck","a serious accident (usually involving one or more vehicles); ""they are still investigating the crash of the TWA plane"""
"prang","a crash involving a car or plane"
"derailment","an accident in which a train runs off its track"
"collision","(physics) an brief event in which two or more bodies come together; ""the collision of the particles resulted in an exchange of energy and a change of direction"""
"hit","(physics) an brief event in which two or more bodies come together; ""the collision of the particles resulted in an exchange of energy and a change of direction"""
"fire","the event of something burning (often destructive); ""they lost everything in the fire"""
"bonfire","a large outdoor fire"
"balefire","a large outdoor fire"
"campfire","a small outdoor fire for warmth or cooking (as at a camp)"
"conflagration","a very intense and uncontrolled fire"
"inferno","a very intense and uncontrolled fire"
"grassfire","an uncontrolled fire in a grassy area"
"smoulder","a smouldering fire; ""the smoulder became a blaze"""
"smudge","a smoky fire to drive away insects"
"wildfire","a raging and rapidly spreading conflagration"
"misfortune","unnecessary and unforeseen trouble resulting from an unfortunate event"
"pity","an unfortunate development; ""it''s a pity he couldn''t do it"""
"shame","an unfortunate development; ""it''s a pity he couldn''t do it"""
"affliction","a cause of great suffering and distress"
"convulsion","a physical disturbance such as an earthquake or upheaval"
"embarrassment","some event that causes someone to be embarrassed; ""the outcome of the vote was an embarrassment for the liberals"""
"hell","a cause of difficulty and suffering; ""war is hell""; ""go to blazes"""
"blaze","a cause of difficulty and suffering; ""war is hell""; ""go to blazes"""
"calvary","any experience that causes intense suffering"
"martyrdom","any experience that causes intense suffering"
"onslaught","a sudden and severe onset of trouble"
"scandal","a disgraceful event"
"outrage","a disgraceful event"
"skeleton","a scandal that is kept secret; ""there must be a skeleton somewhere in that family''s closet"""
"Watergate","a political scandal involving abuse of power and bribery and obstruction of justice; led to the resignation of Richard Nixon in 1974"
"chapter","a series of related events forming an episode; ""a chapter of disasters"""
"idyll","an episode of such pastoral or romantic charm as to qualify as the subject of a poetic idyll"
"incident","a single distinct event"
"discharge","the sudden giving off of energy"
"impulse","the electrical discharge that travels along a nerve fiber; ""they demonstrated the transmission of impulses from the cortex to the hypothalamus"""
"spike","a transient variation in voltage or current"
"explosion","a violent release of energy caused by a chemical or nuclear reaction"
"detonation","a violent release of energy caused by a chemical or nuclear reaction"
"blowup","a violent release of energy caused by a chemical or nuclear reaction"
"case","an occurrence of something; ""it was a case of bad judgment""; ""another instance occurred yesterday""; ""but there is always the famous example of the Smiths"""
"instance","an occurrence of something; ""it was a case of bad judgment""; ""another instance occurred yesterday""; ""but there is always the famous example of the Smiths"""
"example","an occurrence of something; ""it was a case of bad judgment""; ""another instance occurred yesterday""; ""but there is always the famous example of the Smiths"""
"humiliation","an instance in which you are caused to lose your prestige or self-respect; ""he had to undergo one humiliation after another"""
"mortification","an instance in which you are caused to lose your prestige or self-respect; ""he had to undergo one humiliation after another"""
"piece","an instance of some kind; ""it was a nice piece of work""; ""he had a bit of good luck"""
"bit","an instance of some kind; ""it was a nice piece of work""; ""he had a bit of good luck"""
"time","an instance or single occasion for some event; ""this time he succeeded""; ""he called four times""; ""he could do ten at a clip"""
"clip","an instance or single occasion for some event; ""this time he succeeded""; ""he called four times""; ""he could do ten at a clip"""
"movement","a natural event that involves a change in the position or location of something"
"motion","a natural event that involves a change in the position or location of something"
"approach","the event of one object coming closer to another"
"approaching","the event of one object coming closer to another"
"passing","the motion of one object relative to another; ""stellar passings can perturb the orbits of comets"""
"passage","the motion of one object relative to another; ""stellar passings can perturb the orbits of comets"""
"deflection","the movement of the pointer or pen of a measuring instrument from its zero position"
"deflexion","the movement of the pointer or pen of a measuring instrument from its zero position"
"bending","movement that causes the formation of a curve"
"bend","movement that causes the formation of a curve"
"travel","a movement through space that changes the location of something"
"ascension","(astronomy) the rising of a star above the horizon"
"Ascension","(New Testament) the rising of the body of Jesus into heaven on the 40th day after his Resurrection"
"Resurrection","(New Testament) the rising of Christ on the third day after the Crucifixion"
"circulation","free movement or passage through a series of vessels (as of water through pipes or sap through a plant)"
"creep","a slow longitudinal movement or deformation"
"migration","the periodic passage of groups of animals (especially birds or fishes) from one region to another for feeding or breeding"
"migration","(chemistry) the nonrandom movement of an atom or radical from one place to another within a molecule"
"shrinking","process or result of becoming less or smaller; ""the material lost 2 inches per yard in shrinkage"""
"shrinkage","process or result of becoming less or smaller; ""the material lost 2 inches per yard in shrinkage"""
"compression","the process or result of becoming smaller or pressed together; ""the contraction of a gas on cooling"""
"condensation","the process or result of becoming smaller or pressed together; ""the contraction of a gas on cooling"""
"contraction","the process or result of becoming smaller or pressed together; ""the contraction of a gas on cooling"""
"constriction","tight or narrow compression"
"coarctation","tight or narrow compression"
"injury","an accident that results in physical damage or hurt"
"rupture","a personal or social separation (as between opposing factions); ""they hoped to avoid a break in relations"""
"breach","a personal or social separation (as between opposing factions); ""they hoped to avoid a break in relations"""
"break","a personal or social separation (as between opposing factions); ""they hoped to avoid a break in relations"""
"severance","a personal or social separation (as between opposing factions); ""they hoped to avoid a break in relations"""
"rift","a personal or social separation (as between opposing factions); ""they hoped to avoid a break in relations"""
"hap","an accidental happening; ""he recorded all the little haps and mishaps of his life"""
"mishap","an instance of misfortune"
"misadventure","an instance of misfortune"
"mischance","an instance of misfortune"
"puncture","loss of air pressure in a tire when a hole is made by some sharp object"
"calamity","an event resulting in great loss and misfortune; ""the whole city was affected by the irremediable calamity""; ""the earthquake was a disaster"""
"catastrophe","an event resulting in great loss and misfortune; ""the whole city was affected by the irremediable calamity""; ""the earthquake was a disaster"""
"disaster","an event resulting in great loss and misfortune; ""the whole city was affected by the irremediable calamity""; ""the earthquake was a disaster"""
"tragedy","an event resulting in great loss and misfortune; ""the whole city was affected by the irremediable calamity""; ""the earthquake was a disaster"""
"cataclysm","an event resulting in great loss and misfortune; ""the whole city was affected by the irremediable calamity""; ""the earthquake was a disaster"""
"apocalypse","a cosmic cataclysm in which God destroys the ruling powers of evil"
"famine","a severe shortage of food (as through crop failure) resulting in violent hunger and starvation and death"
"meltdown","a disaster comparable to a nuclear meltdown; ""there is little likelihood of a meltdown comparable to the American banking collapse in March 1933"""
"plague","any large scale calamity (especially when thought to be sent by God)"
"visitation","any disaster or catastrophe; ""a visitation of the plague"""
"break","an unexpected piece of good luck; ""he finally got his big break"""
"coincidence","an event that might have been arranged although it was really accidental"
"happenstance","an event that might have been arranged although it was really accidental"
"lottery","something that is regarded as a chance event; ""the election was just a lottery to them"""
"pileup","multiple collisions of vehicles"
"smash","a serious collision (especially of motor vehicles)"
"slip","an accidental misstep threatening (or causing) a fall; ""he blamed his slip on the ice""; ""the jolt caused many slips and a few spills"""
"trip","an accidental misstep threatening (or causing) a fall; ""he blamed his slip on the ice""; ""the jolt caused many slips and a few spills"""
"failure","an event that does not accomplish its intended purpose; ""the surprise party was a complete failure"""
"downfall","failure that results in a loss of position or reputation"
"ruin","failure that results in a loss of position or reputation"
"ruination","failure that results in a loss of position or reputation"
"malfunction","a failure to function normally"
"blowout","a sudden malfunction of a part or apparatus; ""the right front tire had a blowout""; ""as a result of the blowout we lost all the lights"""
"stall","a malfunction in the flight of an aircraft in which there is a sudden loss of lift that results in a downward plunge; ""the plane went into a stall and I couldn''t control it"""
"success","an event that accomplishes its intended purpose; ""let''s call heads a success and tails a failure""; ""the election was a remarkable success for Republicans"""
"barnburner","a impressively successful event; ""the rock concert was a real barnburner"""
"Godspeed","a successful journey; ""they wished him Godspeed"""
"miscarriage","failure of a plan"
"abortion","failure of a plan"
"miss","a failure to hit (or meet or find etc)"
"misfire","a failure to hit (or meet or find etc)"
"emergence","the becoming visible; ""not a day''s difference between the emergence of the andrenas and the opening of the willow catkins"""
"egress","the becoming visible; ""not a day''s difference between the emergence of the andrenas and the opening of the willow catkins"""
"issue","the becoming visible; ""not a day''s difference between the emergence of the andrenas and the opening of the willow catkins"""
"eruption","the emergence of a tooth as it breaks through the gum"
"birth","the event of being born; ""they celebrated the birth of their first child"""
"nativity","the event of being born; ""they celebrated the birth of their first child"""
"nascency","the event of being born; ""they celebrated the birth of their first child"""
"nascence","the event of being born; ""they celebrated the birth of their first child"""
"delivery","the event of giving birth; ""she had a difficult delivery"""
"reincarnation","a second or new birth"
"rebirth","a second or new birth"
"moksa","(Hinduism) release from the cycle of rebirth"
"appearance","the event of coming into sight"
"reappearance","the event of something appearing again; ""the reappearance of Halley''s comet"""
"egress","(astronomy) the reappearance of a celestial body after an eclipse"
"emersion","(astronomy) the reappearance of a celestial body after an eclipse"
"ingress","(astronomy) the disappearance of a celestial body prior to an eclipse"
"immersion","(astronomy) the disappearance of a celestial body prior to an eclipse"
"Advent","(Christian theology) the reappearance of Jesus as judge for the Last Judgment"
"Parousia","(Christian theology) the reappearance of Jesus as judge for the Last Judgment"
"makeup","an event that is substituted for a previously cancelled event; ""he missed the test and had to take a makeup""; ""the two teams played a makeup one week later"""
"manifestation","an appearance in bodily form (as of a disembodied spirit)"
"manifestation","a clear appearance; ""a manifestation of great emotion"""
"apparition","the appearance of a ghostlike figure; ""I was recalled to the present by the apparition of a frightening specter"""
"epiphany","a divine manifestation"
"theophany","a visible (but not necessarily material) manifestation of a deity to a human person"
"origin","an event that is a beginning; a first part or stage of subsequent events"
"origination","an event that is a beginning; a first part or stage of subsequent events"
"inception","an event that is a beginning; a first part or stage of subsequent events"
"germination","the origin of some development; ""the germination of their discontent"""
"genesis","a coming into being"
"generation","a coming into being"
"emergence","the gradual beginning or coming forth; ""figurines presage the emergence of sculpture in Greece"""
"outgrowth","the gradual beginning or coming forth; ""figurines presage the emergence of sculpture in Greece"""
"growth","the gradual beginning or coming forth; ""figurines presage the emergence of sculpture in Greece"""
"rise","a growth in strength or number or importance"
"start","the beginning of anything; ""it was off to a good start"""
"adrenarche","the increase in activity of the adrenal glands just before puberty"
"menarche","the first occurrence of menstruation in a woman"
"thelarche","the start of breast development in a woman at the beginning of puberty"
"onset","the beginning or early stages; ""the onset of pneumonia"""
"oncoming","the beginning or early stages; ""the onset of pneumonia"""
"dawn","the earliest period; ""the dawn of civilization""; ""the morning of the world"""
"morning","the earliest period; ""the dawn of civilization""; ""the morning of the world"""
"opener","the first event in a series; ""she played Chopin for her opener""; ""the season''s opener was a game agains the Yankees"""
"cause","events that provide the generative force that is the origin of something; ""they are trying to determine the cause of the crash"""
"antecedent","a preceding occurrence or cause or event"
"preliminary","something that serves as a preceding event or introduces what follows; ""training is a necessary preliminary to employment""; ""drinks were the overture to dinner"""
"overture","something that serves as a preceding event or introduces what follows; ""training is a necessary preliminary to employment""; ""drinks were the overture to dinner"""
"prelude","something that serves as a preceding event or introduces what follows; ""training is a necessary preliminary to employment""; ""drinks were the overture to dinner"""
"emanation","(theology) the origination of the Holy Spirit at Pentecost; ""the emanation of the Holy Spirit""; ""the rising of the Holy Ghost""; ""the doctrine of the procession of the Holy Spirit from the Father and the Son"""
"rise","(theology) the origination of the Holy Spirit at Pentecost; ""the emanation of the Holy Spirit""; ""the rising of the Holy Ghost""; ""the doctrine of the procession of the Holy Spirit from the Father and the Son"""
"procession","(theology) the origination of the Holy Spirit at Pentecost; ""the emanation of the Holy Spirit""; ""the rising of the Holy Ghost""; ""the doctrine of the procession of the Holy Spirit from the Father and the Son"""
"etiology","the cause of a disease"
"aetiology","the cause of a disease"
"factor","anything that contributes causally to a result; ""a number of factors determined the outcome"""
"parameter","any factor that defines a system and determines (or limits) its performance"
"producer","something that produces; ""Maine is a leading producer of potatoes""; ""this microorganism is a producer of disease"""
"creation","the event that occurred at the beginning of something; ""from its creation the plan was doomed to failure"""
"conception","the event that occurred at the beginning of something; ""from its creation the plan was doomed to failure"""
"alpha","the beginning of a series or sequence; ""the Alpha and Omega, the first and the last, the beginning and the end""--Revelations"
"opening","the first performance (as of a theatrical production); ""the opening received good critical reviews"""
"kickoff","a start given to contestants; ""I was there with my parents at the kickoff"""
"destiny","an event (or a course of events) that will inevitably happen in the future"
"fate","an event (or a course of events) that will inevitably happen in the future"
"inevitable","an unavoidable event; ""don''t argue with the inevitable"""
"karma","(Hinduism and Buddhism) the effects of a person''s actions that determine his destiny in his next incarnation"
"kismet","(Islam) the will of Allah"
"kismat","(Islam) the will of Allah"
"annihilation","total destruction; ""bomb tests resulted in the annihilation of the atoll"""
"eradication","the complete destruction of every trace of something"
"obliteration","the complete destruction of every trace of something"
"debilitation","serious weakening and loss of energy"
"enervation","serious weakening and loss of energy"
"enfeeblement","serious weakening and loss of energy"
"exhaustion","serious weakening and loss of energy"
"separation","coming apart"
"breakup","coming apart"
