"venial","warranting only temporal punishment; ""venial sin"""
"threatened","(of flora or fauna) likely in the near future to become endangered; ""the spotted owl is a threatened species, not yet an endangered one"""
"unguarded","lacking protection or a guard; ""an unguarded gate""; ""his unguarded queen was open to attack"""
"unprotected","lacking protection or a guard; ""an unguarded gate""; ""his unguarded queen was open to attack"""
"invulnerable","immune to attack; impregnable; ""gunners raked the beach from invulnerable positions on the cliffs"""
"airtight","having no weak points; ""an airtight defense""; ""an airtight argument"""
"bombproof","able to resist the explosive force of bombs and shells; ""bombproof shelter"""
"shellproof","able to resist the explosive force of bombs and shells; ""bombproof shelter"""
"defendable","capable of being defended"
"defensible","capable of being defended"
"entrenched","dug in"
"impregnable","able to withstand attack; ""an impregnable fortress""; ""fortifications that made the frontier inviolable"""
"inviolable","able to withstand attack; ""an impregnable fortress""; ""fortifications that made the frontier inviolable"""
"secure","able to withstand attack; ""an impregnable fortress""; ""fortifications that made the frontier inviolable"""
"strong","able to withstand attack; ""an impregnable fortress""; ""fortifications that made the frontier inviolable"""
"unassailable","able to withstand attack; ""an impregnable fortress""; ""fortifications that made the frontier inviolable"""
"unattackable","able to withstand attack; ""an impregnable fortress""; ""fortifications that made the frontier inviolable"""
"tight","set so close together as to be invulnerable to penetration; ""in tight formation""; ""a tight blockade"""
"untouchable","beyond the reach of criticism or attack or impeachment; ""for the first time criticism was directed at a hitherto untouchable target""- Newsweek"
"walled","having or surrounded by walls or walls of a specified kind; sometimes used as a combining term; ""the ancient walled city of Jerico""; ""thick-walled cells"""
"wanted","desired or wished for or sought; ""couldn''t keep her eyes off the wanted toy""; ""a wanted criminal""; ""a wanted poster"""
"craved","wanted intensely; ""the child could no longer resist taking one of the craved cookies""; ""it produced the desired effect"""
"desired","wanted intensely; ""the child could no longer resist taking one of the craved cookies""; ""it produced the desired effect"""
"hot","wanted by the police; ""a hot suspect"""
"sought","being searched for; ""the most sought-after item was the silver candelabrum"""
"unwanted","not wanted; not needed; ""tried to give away unwanted kittens"""
"abdicable","capable of being discarded or renounced or relinquished; ""abdicable responsibilites"""
"discarded","thrown away; ""wearing someone''s cast-off clothes""; ""throwaway children living on the streets""; ""salvaged some thrown-away furniture"""
"throwaway(a)","thrown away; ""wearing someone''s cast-off clothes""; ""throwaway children living on the streets""; ""salvaged some thrown-away furniture"""
"friendless","excluded from a society"
"outcast","excluded from a society"
"outcaste","not belonging to or having been expelled from a caste and thus having no place or status in society; ""the foreigner was a casteless person"""
"casteless","not belonging to or having been expelled from a caste and thus having no place or status in society; ""the foreigner was a casteless person"""
"unclaimed","not claimed or called for by an owner or assignee; ""unclaimed luggage"""
"undesired","not desired; ""an undesired result"""
"unsought","not desired; ""an undesired result"""
"unwelcome","not welcome; ""unwelcome publicity"""
"unwished","not welcome; ""unwelcome publicity"""
"warm","having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat; ""a warm body""; ""a warm room""; ""a warm climate""; ""a warm coat"""
"lukewarm","moderately warm; ""he hates lukewarm coffee""; ""tepid bath water"""
"tepid","moderately warm; ""he hates lukewarm coffee""; ""tepid bath water"""
"warmed","having been warmed up; ""a cup of warmed milk"""
"warming","imparting heat; ""a warming fire"""
"cool","neither warm or very cold; giving relief from heat; ""a cool autumn day""; ""a cool room""; ""cool summer dresses""; ""cool drinks""; ""a cool breeze"""
"chill","uncomfortably cool; ""a chill wind""; ""chilly weather"""
"chilly","uncomfortably cool; ""a chill wind""; ""chilly weather"""
"caller","providing coolness; ""a cooling breeze""; ""`caller'' is a Scottish term as in `a caller breeze''"""
"precooled","cooled in advance"
"warm","psychologically warm; friendly and responsive; ""a warm greeting""; ""a warm personality""; ""warm support"""
"cordial","showing warm and heartfelt friendliness; ""gave us a cordial reception""; ""a hearty welcome"""
"hearty","showing warm and heartfelt friendliness; ""gave us a cordial reception""; ""a hearty welcome"""
"cool","psychologically cool and unenthusiastic; unfriendly or unresponsive or showing dislike; ""relations were cool and polite""; ""a cool reception""; ""cool to the idea of higher taxes"""
"chilly","lacking warmth of feeling; ""a chilly greeting""; ""an unfriendly manner"""
"unfriendly","lacking warmth of feeling; ""a chilly greeting""; ""an unfriendly manner"""
"unresponsive","aloof or indifferent; ""was unresponsive to her passionate advances"""
"warm","(color) inducing the impression of warmth; used especially of reds and oranges and yellows; ""warm reds and yellows and orange"""
"hot","(color) bold and intense; ""hot pink"""
"cool","(color) inducing the impression of coolness; used especially of greens and blues and violets; ""cool greens and blues and violets"""
"cold","(color) giving no sensation of warmth; ""a cold bluish gray"""
"homoiothermic","of birds and mammals; having constant and relatively high body temperature"
"homeothermic","of birds and mammals; having constant and relatively high body temperature"
"homothermic","of birds and mammals; having constant and relatively high body temperature"
"heterothermic","of animals except birds and mammals; having body temperature that varies with the environment"
"ectothermic","of animals except birds and mammals; having body temperature that varies with the environment"
"warmhearted","marked by warmth of feeling like kindness and sympathy and generosity; ""gave a warmhearted welcome to the stranger"""
"coldhearted","lacking in sympathy or feeling"
"brittle","lacking warmth and generosity of spirit; ""a brittle and calculating woman"""
"washable","capable of being washed without injury; ""washable woolens""; ""acrylic blankets are both warm and washable"""
"nonwashable","not washable"
"waxed","treated with wax; ""waxed floors""; ""waxed mustache"""
"unwaxed","not waxed; ""the unwaxed floor"""
"waxing","(of the moon) pertaining to the period during which the visible surface of the moon increases; ""the waxing moon passes from new to full"""
"waning","(of the moon) pertaining to the period during which the visible surface of the moon decreases; ""after full moon comes the waning moon"""
"increasing","becoming greater or larger; ""increasing prices"""
"accelerative","tending to increase velocity"
"acceleratory","tending to increase velocity"
"accretionary","marked or produced by accretion"
"accretive","growing by accretion"
"augmentative","increasing or having the power to increase especially in size or amount or degree; ""`up'' is an augmentative word in `hurry up''"""
"expanding","increasing in area or volume or bulk or range; ""an expanding universe""; ""an expanding economy"""
"exploding","increasing suddenly and with uncontrolled rapidity; ""the world''s exploding population"""
"flared","having a gradual increase in width; ""flared nostrils""; ""a skirt flaring from the waist"""
"flaring","having a gradual increase in width; ""flared nostrils""; ""a skirt flaring from the waist"""
"growing","increasing in size or degree or amount; ""her growing popularity""; ""growing evidence of a world depression""; ""a growing city""; ""growing businesses"""
"incorporative","growing by taking over and incorporating adjacent territories; ""the Russian Empire was a typical incorporative state"""
"maximizing","making as great as possible"
"maximising","making as great as possible"
"progressive","gradually advancing in extent"
"raising","increasing in quantity or value; ""a cost-raising increase in the basic wage rate"""
"rising","increasing in amount or degree; ""rising prices"""
"decreasing","becoming less or smaller"
"abating","decreasing in amount or intensity"
"subsiding","decreasing in amount or intensity"
"depreciating","tending to decrease or cause a decrease in value; ""a depreciating currency""; ""depreciatory effects on prices"""
"depreciative","tending to decrease or cause a decrease in value; ""a depreciating currency""; ""depreciatory effects on prices"""
"depreciatory","tending to decrease or cause a decrease in value; ""a depreciating currency""; ""depreciatory effects on prices"""
"detractive","causing to decrease in importance or value; ""detractive influences on the volume of investment"""
"diminishing","becoming smaller or less or appearing to do so; ""diminishing returns""; ""his diminishing respect for her"""
"dwindling","gradually decreasing until little remains"
"tapering","gradually decreasing until little remains"
"falling","decreasing in amount or degree; ""falling temperature"""
"increasing","music"
"accelerando","gradually increasing in tempo"
"crescendo","gradually increasing in volume"
"decreasing","music"
"allargando","gradually decreasing in tempo and broadening in manner"
"calando","gradually decreasing in tempo and volume"
"decrescendo","gradually decreasing in volume"
"diminuendo","gradually decreasing in volume"
"rallentando","gradually decreasing in tempo"
"ritardando","gradually decreasing in tempo"
"ritenuto","gradually decreasing in tempo"
"rit.","gradually decreasing in tempo"
"inflationary","associated with or tending to cause increases in inflation; ""inflationary prices"""
"deflationary","associated with or tending to cause decreases in consumer prices or increases in the purchasing power of money; ""deflationary measures"""
"weaned","freed of dependence on something especially (for mammals) mother''s milk; ""the just-weaned calf bawled for its mother"""
"unweaned","not weaned; ""some children remain unweaned until their second or third birthdays"""
"wearable","suitable for wear or able to be worn; ""wearable evening clothes""; ""a wearable hearing aid"""
"unwearable","not suitable for wear or able to be worn; ""shoes so dilapidated as to be unwearable"""
"unbecoming","considered inappropriate for or unattractive on a particular person; ""an unbecoming style"""
"weedy","abounding with or resembling weeds; ""a weedy path""; ""weedy plants that take over a garden"""
"weedless","free from weeds; ""a weedless garden"""
"weeded","having had weeds removed"
"welcome","giving pleasure or satisfaction or received with pleasure or freely granted; ""a welcome relief""; ""a welcome guest""; ""made the children feel welcome""; ""you are welcome to join us"""
"invited","freely permitted or invited; ""invited guests"""
"wanted","freely permitted or invited; ""invited guests"""
"welcomed(a)","gladly and cordially received or admitted"
"unwelcome","not welcome; not giving pleasure or received with pleasure; ""unwelcome publicity""; ""unwelcome interruptions""; ""unwelcome visitors"""
"unasked","without being invited; ""an unwanted intrusion""; ""uninvited guests"""
"uninvited","without being invited; ""an unwanted intrusion""; ""uninvited guests"""
"unwanted","without being invited; ""an unwanted intrusion""; ""uninvited guests"""
"well","in good health especially after having suffered illness or injury; ""appears to be entirely well""; ""the wound is nearly well""; ""a well man""; ""I think I''m well; at least I feel well"""
"fine","being in good health; ""he''s feeling all right again""; ""I''m fine, how are you?"""
"asymptomatic","having no symptoms of illness or disease"
"symptomless","having no symptoms of illness or disease"
"cured","freed from illness or injury; ""the patient appears cured""; ""the incision is healed""; ""appears to be entirely recovered""; ""when the recovered patient tries to remember what occurred during his delirium""- Normon Cameron"
"healed","freed from illness or injury; ""the patient appears cured""; ""the incision is healed""; ""appears to be entirely recovered""; ""when the recovered patient tries to remember what occurred during his delirium""- Normon Cameron"
"recovered","freed from illness or injury; ""the patient appears cured""; ""the incision is healed""; ""appears to be entirely recovered""; ""when the recovered patient tries to remember what occurred during his delirium""- Normon Cameron"
"good(p)","feeling healthy and free of aches and pains; ""I feel good"""
"ill","not in good physical or mental health; ""ill from the monotony of his suffering"""
"sick","not in good physical or mental health; ""ill from the monotony of his suffering"""
"afflicted","grievously affected especially by disease"
"stricken","grievously affected especially by disease"
"aguish","affected by ague"
"ailing","somewhat ill or prone to illness; ""my poor ailing grandmother""; ""feeling a bit indisposed today""; ""you look a little peaked""; ""feeling poorly""; ""a sickly child""; ""is unwell and can''t come to work"""
"indisposed","somewhat ill or prone to illness; ""my poor ailing grandmother""; ""feeling a bit indisposed today""; ""you look a little peaked""; ""feeling poorly""; ""a sickly child""; ""is unwell and can''t come to work"""
"peaked(p)","somewhat ill or prone to illness; ""my poor ailing grandmother""; ""feeling a bit indisposed today""; ""you look a little peaked""; ""feeling poorly""; ""a sickly child""; ""is unwell and can''t come to work"""
"poorly(p)","somewhat ill or prone to illness; ""my poor ailing grandmother""; ""feeling a bit indisposed today""; ""you look a little peaked""; ""feeling poorly""; ""a sickly child""; ""is unwell and can''t come to work"""
"sickly","somewhat ill or prone to illness; ""my poor ailing grandmother""; ""feeling a bit indisposed today""; ""you look a little peaked""; ""feeling poorly""; ""a sickly child""; ""is unwell and can''t come to work"""
"unwell","somewhat ill or prone to illness; ""my poor ailing grandmother""; ""feeling a bit indisposed today""; ""you look a little peaked""; ""feeling poorly""; ""a sickly child""; ""is unwell and can''t come to work"""
"airsick","experiencing motion sickness"
"carsick","experiencing motion sickness"
"seasick","experiencing motion sickness"
"bedfast","confined to bed (by illness)"
"bedridden","confined to bed (by illness)"
"bedrid","confined to bed (by illness)"
"infirm","confined to bed (by illness)"
"bilious","suffering from or suggesting a liver disorder or gastric distress"
"liverish","suffering from or suggesting a liver disorder or gastric distress"
"livery","suffering from or suggesting a liver disorder or gastric distress"
"bronchitic","suffering from or prone to bronchitis"
"consumptive","afflicted with or associated with pulmonary tuberculosis; ""a consumptive patient""; ""a consumptive cough"""
"convalescent","returning to health after illness or debility; ""convalescent children are difficult to keep in bed"""
"recovering","returning to health after illness or debility; ""convalescent children are difficult to keep in bed"""
"delirious","experiencing delirium"
"hallucinating","experiencing delirium"
"diabetic","suffering from diabetes"
"dizzy","having or causing a whirling sensation; liable to falling; ""had a dizzy spell""; ""a dizzy pinnacle""; ""had a headache and felt giddy""; ""a giddy precipice""; ""feeling woozy from the blow on his head""; ""a vertiginous climb up the face of the cliff"""
"giddy","having or causing a whirling sensation; liable to falling; ""had a dizzy spell""; ""a dizzy pinnacle""; ""had a headache and felt giddy""; ""a giddy precipice""; ""feeling woozy from the blow on his head""; ""a vertiginous climb up the face of the cliff"""
"woozy","having or causing a whirling sensation; liable to falling; ""had a dizzy spell""; ""a dizzy pinnacle""; ""had a headache and felt giddy""; ""a giddy precipice""; ""feeling woozy from the blow on his head""; ""a vertiginous climb up the face of the cliff"""
"vertiginous","having or causing a whirling sensation; liable to falling; ""had a dizzy spell""; ""a dizzy pinnacle""; ""had a headache and felt giddy""; ""a giddy precipice""; ""feeling woozy from the blow on his head""; ""a vertiginous climb up the face of the cliff"""
"dyspeptic","suffering from dyspepsia"
"faint","weak and likely to lose consciousness; ""suddenly felt faint from the pain""; ""was sick and faint from hunger""; ""felt light in the head""; ""a swooning fit""; ""light-headed with wine""; ""light-headed from lack of sleep"""
"light","weak and likely to lose consciousness; ""suddenly felt faint from the pain""; ""was sick and faint from hunger""; ""felt light in the head""; ""a swooning fit""; ""light-headed with wine""; ""light-headed from lack of sleep"""
"swooning","weak and likely to lose consciousness; ""suddenly felt faint from the pain""; ""was sick and faint from hunger""; ""felt light in the head""; ""a swooning fit""; ""light-headed with wine""; ""light-headed from lack of sleep"""
"lightheaded","weak and likely to lose consciousness; ""suddenly felt faint from the pain""; ""was sick and faint from hunger""; ""felt light in the head""; ""a swooning fit""; ""light-headed with wine""; ""light-headed from lack of sleep"""
"feverish","having or affected by a fever"
"feverous","having or affected by a fever"
"funny","experiencing odd bodily sensations; ""told the doctor about the funny sensations in her chest"""
"gouty","suffering from gout"
"green","looking pale and unhealthy; ""you''re looking green""; ""green around the gills"""
"stricken","put out of action (by illness)"
"menstruating","undergoing menstruation"
"unwell","undergoing menstruation"
"nauseated","feeling nausea; feeling about to vomit"
"queasy","feeling nausea; feeling about to vomit"
"sick","feeling nausea; feeling about to vomit"
"sickish","feeling nausea; feeling about to vomit"
"scrofulous","afflicted with scrofula"
"sneezy","inclined to sneeze"
"spastic","suffering from spastic paralysis; ""a spastic child"""
"tubercular","constituting or afflicted with or caused by tuberculosis or the tubercle bacillus; ""a tubercular child""; ""tuberculous patients""; ""tubercular meningitis"""
"tuberculous","constituting or afflicted with or caused by tuberculosis or the tubercle bacillus; ""a tubercular child""; ""tuberculous patients""; ""tubercular meningitis"""
"unhealed","not healed; ""an unhealed wound"""
"upset","mildly physically distressed; ""an upset stomach"""
"wet","covered or soaked with a liquid such as water; ""a wet bathing suit""; ""wet sidewalks""; ""wet paint""; ""wet weather"""
"bedewed","wet with dew"
"dewy","wet with dew"
"besprent","sprinkled over; ""glistening grass besprent with raindrops"""
"sprinkled","sprinkled over; ""glistening grass besprent with raindrops"""
"boggy","(of soil) soft and watery; ""the ground was boggy under foot""; ""a marshy coastline""; ""miry roads""; ""wet mucky lowland""; ""muddy barnyard""; ""quaggy terrain""; ""the sloughy edge of the pond""; ""swampy bayous"""
"marshy","(of soil) soft and watery; ""the ground was boggy under foot""; ""a marshy coastline""; ""miry roads""; ""wet mucky lowland""; ""muddy barnyard""; ""quaggy terrain""; ""the sloughy edge of the pond""; ""swampy bayous"""
"miry","(of soil) soft and watery; ""the ground was boggy under foot""; ""a marshy coastline""; ""miry roads""; ""wet mucky lowland""; ""muddy barnyard""; ""quaggy terrain""; ""the sloughy edge of the pond""; ""swampy bayous"""
"mucky","(of soil) soft and watery; ""the ground was boggy under foot""; ""a marshy coastline""; ""miry roads""; ""wet mucky lowland""; ""muddy barnyard""; ""quaggy terrain""; ""the sloughy edge of the pond""; ""swampy bayous"""
"muddy","(of soil) soft and watery; ""the ground was boggy under foot""; ""a marshy coastline""; ""miry roads""; ""wet mucky lowland""; ""muddy barnyard""; ""quaggy terrain""; ""the sloughy edge of the pond""; ""swampy bayous"""
"quaggy","(of soil) soft and watery; ""the ground was boggy under foot""; ""a marshy coastline""; ""miry roads""; ""wet mucky lowland""; ""muddy barnyard""; ""quaggy terrain""; ""the sloughy edge of the pond""; ""swampy bayous"""
"sloughy","(of soil) soft and watery; ""the ground was boggy under foot""; ""a marshy coastline""; ""miry roads""; ""wet mucky lowland""; ""muddy barnyard""; ""quaggy terrain""; ""the sloughy edge of the pond""; ""swampy bayous"""
"swampy","(of soil) soft and watery; ""the ground was boggy under foot""; ""a marshy coastline""; ""miry roads""; ""wet mucky lowland""; ""muddy barnyard""; ""quaggy terrain""; ""the sloughy edge of the pond""; ""swampy bayous"""
"clammy","unpleasantly cool and humid; ""a clammy handshake""; ""clammy weather""; ""a dank cellar""; ""dank rain forests"""
"dank","unpleasantly cool and humid; ""a clammy handshake""; ""clammy weather""; ""a dank cellar""; ""dank rain forests"""
"damp","slightly wet; ""clothes damp with perspiration""; ""a moist breeze""; ""eyes moist with tears"""
"dampish","slightly wet; ""clothes damp with perspiration""; ""a moist breeze""; ""eyes moist with tears"""
"moist","slightly wet; ""clothes damp with perspiration""; ""a moist breeze""; ""eyes moist with tears"""
"drenched","wet through and through; thoroughly wet; ""stood at the door drenched (or soaked) by the rain""; ""a shirt saturated with perspiration""; ""his shoes were sopping (or soaking)""; ""the speaker''s sodden collar""; ""soppy clothes"""
"saturated","wet through and through; thoroughly wet; ""stood at the door drenched (or soaked) by the rain""; ""a shirt saturated with perspiration""; ""his shoes were sopping (or soaking)""; ""the speaker''s sodden collar""; ""soppy clothes"""
"soaked","wet through and through; thoroughly wet; ""stood at the door drenched (or soaked) by the rain""; ""a shirt saturated with perspiration""; ""his shoes were sopping (or soaking)""; ""the speaker''s sodden collar""; ""soppy clothes"""
"soaking","wet through and through; thoroughly wet; ""stood at the door drenched (or soaked) by the rain""; ""a shirt saturated with perspiration""; ""his shoes were sopping (or soaking)""; ""the speaker''s sodden collar""; ""soppy clothes"""
"sodden","wet through and through; thoroughly wet; ""stood at the door drenched (or soaked) by the rain""; ""a shirt saturated with perspiration""; ""his shoes were sopping (or soaking)""; ""the speaker''s sodden collar""; ""soppy clothes"""
"sopping","wet through and through; thoroughly wet; ""stood at the door drenched (or soaked) by the rain""; ""a shirt saturated with perspiration""; ""his shoes were sopping (or soaking)""; ""the speaker''s sodden collar""; ""soppy clothes"""
"soppy","wet through and through; thoroughly wet; ""stood at the door drenched (or soaked) by the rain""; ""a shirt saturated with perspiration""; ""his shoes were sopping (or soaking)""; ""the speaker''s sodden collar""; ""soppy clothes"""
"dripping","having liquid falling in drops; ""in the dripping fog""; ""the scene where he is singing in the rain in dripping clothes""; ""there was little shelter under the dripping trees"""
"drippy","wet with light rain; ""a sad drizzly day""; ""a wet drippy day"""
"drizzly","wet with light rain; ""a sad drizzly day""; ""a wet drippy day"""
"dunked","wet from being plunged into liquid; ""a dunked doughnut""; ""fell into the pool and came up soused"""
"soused","wet from being plunged into liquid; ""a dunked doughnut""; ""fell into the pool and came up soused"""
"humid","containing or characterized by a great deal of water vapor; ""humid air""; ""humid weather"""
"misty","wet with mist; ""the misty evening"""
"muggy","hot or warm and humid; ""muggy weather""; ""the steamy tropics""; ""sticky weather"""
"steamy","hot or warm and humid; ""muggy weather""; ""the steamy tropics""; ""sticky weather"""
"sticky","hot or warm and humid; ""muggy weather""; ""the steamy tropics""; ""sticky weather"""
"perspiring","being wet with perspiration; ""the perspiring runners""; ""his sweating face""; ""sweaty clothes"""
"sweating","being wet with perspiration; ""the perspiring runners""; ""his sweating face""; ""sweaty clothes"""
"sweaty","being wet with perspiration; ""the perspiring runners""; ""his sweating face""; ""sweaty clothes"""
"reeking","wet with secreted or exuded moisture such as sweat or blood or tears; ""wiped his reeking neck"""
"dripping","wet with secreted or exuded moisture such as sweat or blood or tears; ""wiped his reeking neck"""
"watery","wet with secreted or exuded moisture such as sweat or blood or tears; ""wiped his reeking neck"""
"rheumy","moist, damp, wet (especially of air); ""the raw and theumy damp of night air"""
"showery","(of weather) wet by periods of rain; ""showery weather""; ""rainy days"""
"rainy","(of weather) wet by periods of rain; ""showery weather""; ""rainy days"""
"soggy","soaked with moisture; ""a soggy lawn""; ""the flood left waterlogged fields"""
"waterlogged","soaked with moisture; ""a soggy lawn""; ""the flood left waterlogged fields"""
"steaming","emitting moisture in the form of vapor or mist; ""a steaming kettle""; ""steaming towels"""
"sticky","moist as with undried perspiration and with clothing sticking to the body; ""felt sticky and chilly at the same time"""
"tacky","(of a glutinous liquid such as paint) not completely dried and slightly sticky to the touch; ""tacky varnish"""
"undried","still wet or moist"
"washed","wet as from washing; sometimes used in combination; ""rain-washed"""
"watery","filled with water; ""watery soil"""
"dry","free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet; ""dry land""; ""dry clothes""; ""a dry climate""; ""dry splintery boards""; ""a dry river bed""; ""the paint is dry"""
"adust","dried out by heat or excessive exposure to sunlight; ""a vast desert all adust""; ""land lying baked in the heat""; ""parched soil""; ""the earth was scorched and bare""; ""sunbaked salt flats"""
"baked","dried out by heat or excessive exposure to sunlight; ""a vast desert all adust""; ""land lying baked in the heat""; ""parched soil""; ""the earth was scorched and bare""; ""sunbaked salt flats"""
"parched","dried out by heat or excessive exposure to sunlight; ""a vast desert all adust""; ""land lying baked in the heat""; ""parched soil""; ""the earth was scorched and bare""; ""sunbaked salt flats"""
"scorched","dried out by heat or excessive exposure to sunlight; ""a vast desert all adust""; ""land lying baked in the heat""; ""parched soil""; ""the earth was scorched and bare""; ""sunbaked salt flats"""
"sunbaked","dried out by heat or excessive exposure to sunlight; ""a vast desert all adust""; ""land lying baked in the heat""; ""parched soil""; ""the earth was scorched and bare""; ""sunbaked salt flats"""
"arid","lacking sufficient water or rainfall; ""an arid climate""; ""a waterless well""; ""miles of waterless country to cross"""
"waterless","lacking sufficient water or rainfall; ""an arid climate""; ""a waterless well""; ""miles of waterless country to cross"""
"desiccated","thoroughly dried out; ""old boxes of desiccated Cuban cigars""; ""dried-out boards beginning to split"""
"dried","not still wet; ""the ink has dried""; ""a face marked with dried tears"""
"sere","(used especially of vegetation) having lost all moisture; ""dried-up grass""; ""the desert was edged with sere vegetation""; ""shriveled leaves on the unwatered seedlings""; ""withered vines"""
"sear","(used especially of vegetation) having lost all moisture; ""dried-up grass""; ""the desert was edged with sere vegetation""; ""shriveled leaves on the unwatered seedlings""; ""withered vines"""
"shriveled","(used especially of vegetation) having lost all moisture; ""dried-up grass""; ""the desert was edged with sere vegetation""; ""shriveled leaves on the unwatered seedlings""; ""withered vines"""
"shrivelled","(used especially of vegetation) having lost all moisture; ""dried-up grass""; ""the desert was edged with sere vegetation""; ""shriveled leaves on the unwatered seedlings""; ""withered vines"""
"withered","(used especially of vegetation) having lost all moisture; ""dried-up grass""; ""the desert was edged with sere vegetation""; ""shriveled leaves on the unwatered seedlings""; ""withered vines"""
"rainless","lacking rain; ""a rainless month""; ""rainless skies"""
"semiarid","somewhat arid; ""a semiarid region with with little annual rainfall"""
"thirsty","needing moisture; ""thirsty fields under a rainless sky"""
"wet","producing or secreting milk; ""a wet nurse""; ""a wet cow""; ""lactating cows"""
"lactating","producing or secreting milk; ""a wet nurse""; ""a wet cow""; ""lactating cows"""
"fresh","having recently calved and therefore able to give milk; ""the cow is fresh"""
"dry","not producing milk; ""a dry cow"""
"milkless","having no milk; ""milkless breasts"""
"wet","supporting or permitting the legal production and sale of alcoholic beverages; ""a wet candidate running on a wet platform""; ""a wet county"""
"dry","opposed to or prohibiting the production and sale of alcoholic beverages; ""the dry vote led by preachers and bootleggers""; ""a dry state"""
"hydrous","containing combined water (especially water of crystallization as in a hydrate)"
"hydrated","containing combined water (especially water of crystallization as in a hydrate)"
"anhydrous","without water; especially without water of crystallization"
"wheeled","having wheels; often used in combination"
"wheelless","having no wheels or having no wheeled vehicles; ""dragging a wheelless stoneboat filled with rocks""; ""wheelless societies"""
"clerical","appropriate for or engaged in office work; ""clerical skills""; ""a clerical job""; ""the clerical staff"""
"professional","engaged in by members of a profession; ""professional occupations include medicine and the law and teaching"""
"industrial","employed in industry; ""the industrial classes""; ""industrial work"""
"manual(a)","doing or requiring physical work; ""manual labor""; ""manual laborer"""
"wholesome","conducive to or characteristic of physical or moral well-being; ""wholesome attitude""; ""wholesome appearance""; ""wholesome food"""
"alimentary","of or providing nourishment; ""good nourishing stew"""
"alimental","of or providing nourishment; ""good nourishing stew"""
"nourishing","of or providing nourishment; ""good nourishing stew"""
"nutrient","of or providing nourishment; ""good nourishing stew"""
"nutritious","of or providing nourishment; ""good nourishing stew"""
"nutritive","of or providing nourishment; ""good nourishing stew"""
"healthy","promoting health; healthful; ""a healthy diet""; ""clean healthy air""; ""plenty of healthy sleep""; ""healthy and normal outlets for youthful energy""; ""the salubrious mountain air and water""- C.B.Davis; ""carrots are good for you"""
"salubrious","promoting health; healthful; ""a healthy diet""; ""clean healthy air""; ""plenty of healthy sleep""; ""healthy and normal outlets for youthful energy""; ""the salubrious mountain air and water""- C.B.Davis; ""carrots are good for you"""
"hearty","providing abundant nourishment; ""a hearty meal""; ""good solid food""; ""ate a substantial breakfast"""
"satisfying","providing abundant nourishment; ""a hearty meal""; ""good solid food""; ""ate a substantial breakfast"""
"solid","providing abundant nourishment; ""a hearty meal""; ""good solid food""; ""ate a substantial breakfast"""
"substantial","providing abundant nourishment; ""a hearty meal""; ""good solid food""; ""ate a substantial breakfast"""
"organic","of or relating to foodstuff grown or raised without synthetic fertilizers or pesticides or hormones; ""organic eggs""; ""organic vegetables""; ""organic chicken"""
"salubrious","favorable to health of mind or body; ""not the most salubrious campsite""; ""one of the less salubrious suburbs"""
"unwholesome","detrimental to physical or moral well-being; ""unwholesome food""; ""unwholesome habits like smoking"""
"insalubrious","detrimental to health"
"unhealthful","detrimental to health"
"unhealthy","detrimental to health"
"insubstantial","lacking in nutritive value; ""the jejune diets of the very poor"""
"jejune","lacking in nutritive value; ""the jejune diets of the very poor"""
"morbid","suggesting an unhealthy mental state; ""morbid interest in death""; ""morbid curiosity"""
"nauseating","causing or able to cause nausea; ""a nauseating smell""; ""nauseous offal""; ""a sickening stench"""
"nauseous","causing or able to cause nausea; ""a nauseating smell""; ""nauseous offal""; ""a sickening stench"""
"noisome","causing or able to cause nausea; ""a nauseating smell""; ""nauseous offal""; ""a sickening stench"""
"loathsome","causing or able to cause nausea; ""a nauseating smell""; ""nauseous offal""; ""a sickening stench"""
"offensive","causing or able to cause nausea; ""a nauseating smell""; ""nauseous offal""; ""a sickening stench"""
"sickening","causing or able to cause nausea; ""a nauseating smell""; ""nauseous offal""; ""a sickening stench"""
"vile","causing or able to cause nausea; ""a nauseating smell""; ""nauseous offal""; ""a sickening stench"""
"wide","having great (or a certain) extent from one side to the other; ""wide roads""; ""a wide necktie""; ""wide margins""; ""three feet wide""; ""a river two miles broad""; ""broad shoulders""; ""a broad river"""
"broad","having great (or a certain) extent from one side to the other; ""wide roads""; ""a wide necktie""; ""wide margins""; ""three feet wide""; ""a river two miles broad""; ""broad shoulders""; ""a broad river"""
"beamy","broad in the beam; ""a beamy cargo ship"""
"panoramic","as from an altitude or distance; ""a bird''s-eye survey""; ""a panoramic view"""
"citywide","occurring or extending throughout a city; ""citywide bussing""; ""a citywide strike"""
"countywide","occurring or extending throughout a county; ""a countywide war on drugs""; ""countywide elections"""
"countrywide","occurring or extending throughout a country or nation; ""the event aroused nationwide interest""; ""a countrywide fund-raising campaign"""
"nationwide","occurring or extending throughout a country or nation; ""the event aroused nationwide interest""; ""a countrywide fund-raising campaign"""
"deep","extending relatively far inward; ""a deep border"""
"fanlike","resembling a fan"
"heavy","wide from side to side; ""a heavy black mark"""
"thick","wide from side to side; ""a heavy black mark"""
"schoolwide","occurring or extending throughout a school; ""schoolwide support for the team"""
